Indicador;Comunidades y ciudades autónomas;Sexo;Total
Gasto Total;Total nacional;Ambos sexos;27.806.164
Gasto Total;Total nacional;Hombres;13.360.658
Gasto Total;Total nacional;Mujeres;14.445.506
Gasto Total;Andalucía;Ambos sexos;4.343.172
Gasto Total;Andalucía;Hombres;1.993.360
Gasto Total;Andalucía;Mujeres;2.349.813
Gasto Total;Aragón;Ambos sexos;564.207
Gasto Total;Aragón;Hombres;245.768
Gasto Total;Aragón;Mujeres;318.439
Gasto Total;Asturias, Principado de;Ambos sexos;354.741
Gasto Total;Asturias, Principado de;Hombres;195.129
Gasto Total;Asturias, Principado de;Mujeres;159.612
Gasto Total;Balears, Illes;Ambos sexos;426.655
Gasto Total;Balears, Illes;Hombres;215.829
Gasto Total;Balears, Illes;Mujeres;210.826
Gasto Total;Canarias;Ambos sexos;1.334.960
Gasto Total;Canarias;Hombres;922.837
Gasto Total;Canarias;Mujeres;412.123
Gasto Total;Cantabria;Ambos sexos;207.203
Gasto Total;Cantabria;Hombres;103.694
Gasto Total;Cantabria;Mujeres;103.509
Gasto Total;Castilla y León;Ambos sexos;1.035.443
Gasto Total;Castilla y León;Hombres;519.215
Gasto Total;Castilla y León;Mujeres;516.229
Gasto Total;Castilla - La Mancha;Ambos sexos;1.185.144
Gasto Total;Castilla - La Mancha;Hombres;636.445
Gasto Total;Castilla - La Mancha;Mujeres;548.699
Gasto Total;Cataluña;Ambos sexos;5.681.666
Gasto Total;Cataluña;Hombres;2.647.793
Gasto Total;Cataluña;Mujeres;3.033.873
Gasto Total;Comunitat Valenciana;Ambos sexos;3.093.501
Gasto Total;Comunitat Valenciana;Hombres;1.469.175
Gasto Total;Comunitat Valenciana;Mujeres;1.624.326
Gasto Total;Extremadura;Ambos sexos;327.146
Gasto Total;Extremadura;Hombres;159.913
Gasto Total;Extremadura;Mujeres;167.232
Gasto Total;Galicia;Ambos sexos;1.064.362
Gasto Total;Galicia;Hombres;472.999
Gasto Total;Galicia;Mujeres;591.363
Gasto Total;Madrid, Comunidad de;Ambos sexos;5.443.285
Gasto Total;Madrid, Comunidad de;Hombres;2.499.398
Gasto Total;Madrid, Comunidad de;Mujeres;2.943.887
Gasto Total;Murcia, Región de;Ambos sexos;743.049
Gasto Total;Murcia, Región de;Hombres;320.241
Gasto Total;Murcia, Región de;Mujeres;422.808
Gasto Total;Navarra, Comunidad Foral de;Ambos sexos;380.911
Gasto Total;Navarra, Comunidad Foral de;Hombres;131.493
Gasto Total;Navarra, Comunidad Foral de;Mujeres;249.418
Gasto Total;País Vasco;Ambos sexos;1.375.013
Gasto Total;País Vasco;Hombres;708.756
Gasto Total;País Vasco;Mujeres;666.257
Gasto Total;Rioja, La;Ambos sexos;178.164
Gasto Total;Rioja, La;Hombres;80.332
Gasto Total;Rioja, La;Mujeres;97.832
Gasto Total;Ceuta;Ambos sexos;22.511
Gasto Total;Ceuta;Hombres;17.661
Gasto Total;Ceuta;Mujeres;..
Gasto Total;Melilla;Ambos sexos;45.031
Gasto Total;Melilla;Hombres;20.621
Gasto Total;Melilla;Mujeres;24.409
Gasto Medio por estudiante;Total nacional;Ambos sexos;2.056
Gasto Medio por estudiante;Total nacional;Hombres;2.051
Gasto Medio por estudiante;Total nacional;Mujeres;2.061
Gasto Medio por estudiante;Andalucía;Ambos sexos;1.781
Gasto Medio por estudiante;Andalucía;Hombres;1.810
Gasto Medio por estudiante;Andalucía;Mujeres;1.757
Gasto Medio por estudiante;Aragón;Ambos sexos;1.529
Gasto Medio por estudiante;Aragón;Hombres;1.320
Gasto Medio por estudiante;Aragón;Mujeres;1.741
Gasto Medio por estudiante;Asturias, Principado de;Ambos sexos;1.803
Gasto Medio por estudiante;Asturias, Principado de;Hombres;1.950
Gasto Medio por estudiante;Asturias, Principado de;Mujeres;1.651
Gasto Medio por estudiante;Balears, Illes;Ambos sexos;1.293
Gasto Medio por estudiante;Balears, Illes;Hombres;1.463
Gasto Medio por estudiante;Balears, Illes;Mujeres;1.156
Gasto Medio por estudiante;Canarias;Ambos sexos;2.078
Gasto Medio por estudiante;Canarias;Hombres;2.628
Gasto Medio por estudiante;Canarias;Mujeres;1.416
